Tools have their own specific decay rates vs blocks and entities. See tool decay rate files for more information.

Item Durability
---------------
Item[145] 铁砧: 396800
Item[229] 铜砧: 198400
Item[230] 银砧: 198400
Item[231] 金砧: 198400
Item[232] 秘银砧: 3174400
Item[233] 艾德曼砧: 12697600
Item[254] 远古金属砧: 793600
Item[256] 铁锹 (average): 3200
Item[257] 铁镐 (average): 9600
Item[258] 铁斧 (average): 9600
Item[259] 打火石: 16
Item[261] 弓 (average): 32
Item[267] 铁剑 (average): 6400
Item[269] 木锹 (average): 200
Item[283] 金剑 (average): 3200
Item[284] 金锹 (average): 1600
Item[285] 金镐 (average): 4800
Item[286] 金斧 (average): 4800
Item[292] 铁锄 (average): 6400
Item[294] 金锄 (average): 3200
Item[298] 皮革帽子 (average): 10
Item[299] 皮革外套 (average): 16
Item[300] 皮革裤子 (average): 14
Item[301] 皮革靴子 (average): 8
Item[302] 铁锁链头盔 (average): 40
Item[303] 铁锁链胸甲 (average): 64
Item[304] 铁锁链护腿 (average): 56
Item[305] 铁锁链靴子 (average): 32
Item[306] 铁头盔 (average): 80
Item[307] 铁胸甲 (average): 128
Item[308] 铁护腿 (average): 112
Item[309] 铁靴子 (average): 64
Item[314] 金头盔 (average): 40
Item[315] 金胸甲 (average): 64
Item[316] 金护腿 (average): 56
Item[317] 黄金靴子 (average): 32
Item[346] 钓鱼竿 (iron): 16
Item[359] 铁剪刀 (average): 6400
Item[398] 萝卜钓竿 (iron): 25
Item[967] 铜镐 (average): 4800
Item[968] 银镐 (average): 4800
Item[969] 秘银镐 (average): 76800
Item[970] 艾德曼镐 (average): 307200
Item[971] 锈铁镐 (poor): 3600
Item[972] 燧石锹 (average): 400
Item[973] 铜锹 (average): 1600
Item[974] 银锹 (average): 1600
Item[975] 秘银锹 (average): 25600
Item[976] 艾德曼锹 (average): 102400
Item[977] 锈铁锹 (poor): 1200
Item[978] 燧石短斧 (average): 400
Item[979] 燧石斧 (average): 1200
Item[980] 铜斧 (average): 4800
Item[981] 银斧 (average): 4800
Item[982] 秘银斧 (average): 76800
Item[983] 艾德曼斧 (average): 307200
Item[984] 锈铁斧 (poor): 3600
Item[985] 铜锄 (average): 3200
Item[986] 银锄 (average): 3200
Item[987] 秘银锄 (average): 51200
Item[988] 艾德曼锄 (average): 204800
Item[989] 锈铁锄 (poor): 2400
Item[990] 铜战锤 (average): 8000
Item[991] 银战锤 (average): 8000
Item[992] 金战锤 (average): 8000
Item[993] 铁战锤 (average): 16000
Item[994] 秘银战锤 (average): 128000
Item[995] 艾德曼战锤 (average): 512000
Item[996] 锈铁战锤 (poor): 6000
Item[997] 铜鸭嘴锄 (average): 6400
Item[998] 银鸭嘴锄 (average): 6400
Item[999] 金鸭嘴锄 (average): 6400
Item[1000] 铁鸭嘴锄 (average): 12800
Item[1001] 秘银鸭嘴锄 (average): 102400
Item[1002] 艾德曼鸭嘴锄 (average): 409600
Item[1003] 锈铁鸭嘴锄 (poor): 4800
Item[1004] 铜战斧 (average): 6400
Item[1005] 银战斧 (average): 6400
Item[1006] 金战斧 (average): 6400
Item[1007] 铁战斧 (average): 12800
Item[1008] 秘银战斧 (average): 102400
Item[1009] 艾德曼战斧 (average): 409600
Item[1010] 锈铁战斧 (poor): 4800
Item[1011] 铜镰刀 (average): 3200
